term,date,count
disinformation,1997-08,13
disinformation,1997-09,7
disinformation,1997-10,5
disinformation,1997-11,10
disinformation,1997-12,17
disinformation,1998-01,9
disinformation,1998-02,14
disinformation,1998-03,17
disinformation,1998-04,18
disinformation,1998-05,14
disinformation,1998-06,12
disinformation,1998-07,11
disinformation,1998-08,9
disinformation,1998-09,7
disinformation,1998-10,5
disinformation,1998-11,14
disinformation,1998-12,4
disinformation,1999-01,11
disinformation,1999-02,7
disinformation,1999-03,11
disinformation,1999-04,15
disinformation,1999-05,10
disinformation,1999-06,9
disinformation,1999-07,15
disinformation,1999-08,13
disinformation,1999-09,14
disinformation,1999-10,15
disinformation,1999-11,7
disinformation,1999-12,24
disinformation,2000-01,13
disinformation,2000-02,6
disinformation,2000-03,4
disinformation,2000-04,13
disinformation,2000-05,12
disinformation,2000-06,14
disinformation,2000-07,8
disinformation,2000-08,17
disinformation,2000-09,8
disinformation,2000-10,12
disinformation,2000-11,6
disinformation,2000-12,5
disinformation,2001-01,12
disinformation,2001-02,7
disinformation,2001-03,12
disinformation,2001-04,11
disinformation,2001-05,20
disinformation,2001-06,8
disinformation,2001-07,14
disinformation,2001-08,8
disinformation,2001-09,11
disinformation,2001-10,28
disinformation,2001-11,17
disinformation,2001-12,10
disinformation,2002-01,3
disinformation,2002-02,60
disinformation,2002-03,23
disinformation,2002-04,30
disinformation,2002-05,18
disinformation,2002-06,22
disinformation,2002-07,14
disinformation,2002-08,17
disinformation,2002-09,19
disinformation,2002-10,17
disinformation,2002-11,14
disinformation,2002-12,11
disinformation,2003-01,19
disinformation,2003-02,9
disinformation,2003-03,37
disinformation,2003-04,33
disinformation,2003-05,31
disinformation,2003-06,9
disinformation,2003-07,29
disinformation,2003-08,7
disinformation,2003-09,5
disinformation,2003-10,13
disinformation,2003-11,9
disinformation,2003-12,3
disinformation,2004-01,32
disinformation,2004-02,19
disinformation,2004-03,15
disinformation,2004-04,12
disinformation,2004-05,21
disinformation,2004-06,15
disinformation,2004-07,15
disinformation,2004-08,24
disinformation,2004-09,9
disinformation,2004-10,21
disinformation,2004-11,8
disinformation,2004-12,23
disinformation,2005-01,8
disinformation,2005-02,20
disinformation,2005-03,7
disinformation,2005-04,6
disinformation,2005-05,12
disinformation,2005-06,5
disinformation,2005-07,13
disinformation,2005-08,12
disinformation,2005-09,7
disinformation,2005-10,20
disinformation,2005-11,37
disinformation,2005-12,33
disinformation,2006-01,5
disinformation,2006-02,22
disinformation,2006-03,14
disinformation,2006-04,11
disinformation,2006-05,15
disinformation,2006-06,13
disinformation,2006-07,7
disinformation,2006-08,7
disinformation,2006-09,21
disinformation,2006-10,8
disinformation,2006-11,7
disinformation,2006-12,18
disinformation,2007-01,9
disinformation,2007-02,12
disinformation,2007-03,13
disinformation,2007-04,6
disinformation,2007-05,11
disinformation,2007-06,8
disinformation,2007-07,26
disinformation,2007-08,5
disinformation,2007-09,12
disinformation,2007-10,18
disinformation,2007-11,3
disinformation,2007-12,11
disinformation,2008-01,14
disinformation,2008-02,13
disinformation,2008-03,10
disinformation,2008-04,10
disinformation,2008-05,13
disinformation,2008-06,21
disinformation,2008-07,11
disinformation,2008-08,13
disinformation,2008-09,12
disinformation,2008-10,0
disinformation,2008-11,7
disinformation,2008-12,6
disinformation,2009-01,8
disinformation,2009-02,6
disinformation,2009-03,12
disinformation,2009-04,5
disinformation,2009-05,7
disinformation,2009-06,10
disinformation,2009-07,9
disinformation,2009-08,28
disinformation,2009-09,5
disinformation,2009-10,4
disinformation,2009-11,6
disinformation,2009-12,6
disinformation,2010-01,8
disinformation,2010-02,8
disinformation,2010-03,8
disinformation,2010-04,10
disinformation,2010-05,4
disinformation,2010-06,11
disinformation,2010-07,15
disinformation,2010-08,9
disinformation,2010-09,3
disinformation,2010-10,17
disinformation,2010-11,14
disinformation,2010-12,11
disinformation,2011-01,9
disinformation,2011-02,9
disinformation,2011-03,6
disinformation,2011-04,6
disinformation,2011-05,4
disinformation,2011-06,20
disinformation,2011-07,9
disinformation,2011-08,11
disinformation,2011-09,3
disinformation,2011-10,9
disinformation,2011-11,3
disinformation,2011-12,5
disinformation,2012-01,19
disinformation,2012-02,14
disinformation,2012-03,9
disinformation,2012-04,1
disinformation,2012-05,1
disinformation,2012-06,3
disinformation,2012-07,13
disinformation,2012-08,12
disinformation,2012-09,10
disinformation,2012-10,6
disinformation,2012-11,11
disinformation,2012-12,6
disinformation,2013-01,37
disinformation,2013-02,6
disinformation,2013-03,4
disinformation,2013-04,7
disinformation,2013-05,6
disinformation,2013-06,4
disinformation,2013-07,14
disinformation,2013-08,9
disinformation,2013-09,17
disinformation,2013-10,5
disinformation,2013-11,8
disinformation,2013-12,4
disinformation,2014-01,28
disinformation,2014-02,2
disinformation,2014-03,16
disinformation,2014-04,20
disinformation,2014-05,15
disinformation,2014-06,6
disinformation,2014-07,25
disinformation,2014-08,10
